--------------------------------------------------------------------------------
TIMESTAMP: 05:34:50.279 PM 28-Jun-2022
PARAMS:
  population 0
  wiggle-angle 45
  look-ahead 1
  sniff-threshold 0.9
  sniff-angle 45
  chemical-drop 3
  diffuse-share 1
  evaporation-rate 0.95
  cluster-threshold 25
  cluster-radius 10
  learning-turtles 50
  ticks-per-episode 500
  episodes 1500
  learning-rate 0.1
  discount-factor 0.9
  reward 100
  penalty -1
  e-greedy 0.5 0.9
ACTION SPACE: move-toward-chemical random-walk move-and-drop walk-and-drop drop-chemical
OBSERVATION SPACE: chemical-here in-cluster
REWARD: rewardFunc8
--------------------------------------------------------------------------------
Episode, Tick, Avg cluster size X tick, Avg reward X episode, move-toward-chemical, random-walk, move-and-drop, walk-and-drop, drop-chemical
47, 23399, 29.636363636363637, 0, 5116, 3768, 6224, 2806, 2086
47, 23499, 30.25, 0, 6171, 4207, 7769, 3383, 3470
48, 23599, 0, 0, 1231, 878, 1645, 644, 602
48, 23699, 0, 0, 2262, 1894, 3347, 1193, 1304
48, 23799, 31.551724137931036, 0, 3182, 2867, 4875, 1755, 2321
48, 23899, 33.25, 0, 4270, 3452, 6454, 2077, 3747
48, 23999, 31.923076923076923, 0, 5478, 3922, 7954, 2469, 5177
49, 24099, 0, 0, 1234, 930, 1650, 700, 486
49, 24199, 0, 0, 2303, 1878, 3318, 1537, 964
49, 24299, 0, 0, 3429, 2926, 4922, 2120, 1603
49, 24399, 0, 0, 4512, 4134, 6517, 2575, 2262
49, 24499, 0, 0, 5573, 5352, 8203, 3010, 2862
50, 24599, 0, 0, 1475, 867, 1700, 442, 516
50, 24699, 0, 0, 2676, 1969, 2954, 1193, 1208
50, 24799, 0, 0, 4024, 3167, 3978, 1862, 1969
50, 24899, 0, 0, 5361, 4218, 5074, 2506, 2841
50, 24999, 0, 0, 6650, 5423, 6080, 3141, 3706
51, 25099, 0, 0, 1642, 965, 1082, 675, 636
51, 25199, 0, 0, 2860, 2123, 2114, 1496, 1407
51, 25299, 26.583333333333332, 0, 4076, 3025, 3192, 2299, 2408
51, 25399, 36.05555555555556, 0, 5320, 3615, 4638, 2970, 3457
51, 25499, 32.714285714285715, 0, 6601, 3977, 6420, 3532, 4470
52, 25599, 0, 0, 1486, 872, 1106, 815, 721
52, 25699, 0, 0, 2610, 2097, 2096, 1789, 1408
52, 25799, 0, 0, 3817, 3423, 2956, 2767, 2037
52, 25899, 0, 0, 5222, 4610, 3813, 3687, 2668
52, 25999, 0, 0, 6576, 5825, 4766, 4505, 3328
53, 26099, 0, 0, 1619, 949, 1149, 741, 542
53, 26199, 0, 0, 3147, 2058, 2085, 1497, 1213
53, 26299, 0, 0, 4583, 3342, 2859, 2353, 1863
