--------------------------------------------------------------------------------
TIMESTAMP: 08:23:21.995 AM 29-Jun-2022
PARAMS:
  population 0
  wiggle-angle 45
  look-ahead 1
  sniff-threshold 0.9
  sniff-angle 45
  chemical-drop 3
  diffuse-share 1
  evaporation-rate 0.95
  cluster-threshold 25
  cluster-radius 10
  learning-turtles 50
  ticks-per-episode 500
  episodes 1500
  learning-rate 0.1
  discount-factor 0.9
  reward 100
  penalty -1
  e-greedy 0.5 0.9
ACTION SPACE: move-toward-chemical random-walk move-and-drop walk-and-drop drop-chemical
OBSERVATION SPACE: chemical-here in-cluster
REWARD: rewardFunc6
--------------------------------------------------------------------------------
Episode, Tick, Avg cluster size X tick, Avg reward X episode, move-toward-chemical, random-walk, move-and-drop, walk-and-drop, drop-chemical
59, 29399, 0, 0, 3865, 2976, 7312, 3736, 2111
59, 29499, 0, 0, 4652, 3731, 9209, 4743, 2665
60, 29599, 0, 0, 1038, 495, 1951, 796, 720
60, 29699, 0, 0, 1895, 1145, 3903, 1632, 1425
60, 29799, 0, 0, 2788, 1850, 5707, 2565, 2090
60, 29899, 0, 0, 3663, 2589, 7502, 3500, 2746
60, 29999, 0, 0, 4524, 3325, 9279, 4473, 3399
61, 30099, 0, 0, 1324, 563, 1718, 788, 607
61, 30199, 0, 0, 2432, 1336, 3508, 1594, 1130
61, 30299, 0, 0, 3531, 2141, 5279, 2453, 1596
61, 30399, 0, 0, 4626, 2868, 7110, 3337, 2059
61, 30499, 0, 0, 5742, 3578, 8872, 4286, 2522
62, 30599, 0, 0, 1640, 457, 1731, 724, 448
62, 30699, 0, 0, 2887, 1119, 3507, 1584, 903
62, 30799, 0, 0, 4101, 1792, 5272, 2479, 1356
62, 30899, 0, 0, 5409, 2425, 7011, 3326, 1829
62, 30999, 0, 0, 6660, 3094, 8627, 4247, 2372
63, 31099, 0, 0, 1591, 309, 1535, 834, 731
63, 31199, 0, 0, 2778, 750, 2946, 1879, 1647
63, 31299, 0, 0, 3980, 1172, 4459, 2882, 2507
63, 31399, 0, 0, 5096, 1592, 5958, 4026, 3328
63, 31499, 0, 0, 6227, 2048, 7508, 5152, 4065
64, 31599, 0, 0, 1689, 303, 1521, 970, 517
64, 31699, 0, 0, 2972, 860, 3010, 2093, 1065
64, 31799, 0, 0, 4280, 1414, 4468, 3245, 1593
64, 31899, 0, 0, 5602, 2039, 5905, 4345, 2109
64, 31999, 0, 0, 6878, 2627, 7364, 5521, 2610
65, 32099, 30.838709677419356, 0, 1691, 553, 1245, 997, 514
65, 32199, 28.82608695652174, 0, 2807, 1473, 2172, 2324, 1224
65, 32299, 30.80952380952381, 0, 3953, 2364, 2990, 3603, 2090
65, 32399, 32.233333333333334, 0, 4976, 3321, 3856, 4852, 2995
65, 32499, 30, 0, 6220, 4142, 4729, 6073, 3836
66, 32599, 0, 0, 1852, 357, 1452, 919, 420
66, 32699, 0, 0, 3345, 864, 2936, 2011, 844
66, 32799, 0, 0, 4908, 1371, 4341, 3080, 1300
66, 32899, 0, 0, 6414, 1933, 5718, 4190, 1745
66, 32999, 0, 0, 7981, 2480, 7058, 5292, 2189
67, 33099, 0, 0, 1832, 502, 1296, 1013, 357
67, 33199, 0, 0, 3472, 1013, 2613, 2110, 792
67, 33299, 0, 0, 5189, 1500, 3923, 3138, 1250
67, 33399, 0, 0, 6818, 2064, 5236, 4204, 1678
67, 33499, 0, 0, 8490, 2626, 6508, 5215, 2161
68, 33599, 0, 0, 1851, 499, 1428, 833, 389
68, 33699, 0, 0, 3464, 1143, 2710, 1879, 804
68, 33799, 0, 0, 5035, 1818, 4052, 2883, 1212
68, 33899, 0, 0, 6519, 2481, 5238, 4022, 1740
68, 33999, 0, 0, 7995, 3171, 6518, 5123, 2193
69, 34099, 0, 0, 1789, 466, 1430, 930, 385
69, 34199, 0, 0, 3281, 1061, 2755, 2077, 826
69, 34299, 0, 0, 4787, 1631, 4064, 3174, 1344
69, 34399, 0, 0, 6238, 2243, 5277, 4322, 1920
69, 34499, 0, 0, 7644, 2936, 6458, 5540, 2422
70, 34599, 0, 0, 1784, 656, 1115, 1203, 242
70, 34699, 0, 0, 3366, 1462, 1910, 2686, 576
70, 34799, 26.5, 0, 4756, 2440, 2709, 4096, 999
70, 34899, 27.529411764705884, 0, 6223, 3394, 3549, 5497, 1337
70, 34999, 28, 0, 7388, 4314, 4222, 7002, 2074
71, 35099, 0, 0, 1864, 686, 1085, 1035, 330
71, 35199, 0, 0, 3423, 1606, 2028, 2296, 647
